# seq	source_rank	word_id	headword	cefr	primary_sense_id	primary_pos
1	1827	1827	cultural	B1	55361	adj
2	1828	1828	currency	B1	55363	noun
3	1829	1829	current	B1	55368	noun
4	1830	1830	currently	B1	55377	adv
5	1831	1831	curtain	B1	55378	noun
6	1832	1832	custom	B1	55388	noun
7	1833	1833	damage	B1	55404	noun
8	1834	1834	decade	B1	55409	noun
9	1835	1835	decorate	B1	55419	verb
10	1886	1886	enemy	B1	55834	noun
11	1887	1887	engaged	B1	55840	verb
12	1888	1888	engineering	B1	55850	verb
13	1889	1889	entertain	B1	55855	verb
14	1890	1890	entertainment	B1	55864	noun
15	1891	1891	entrance	B1	55870	noun
16	1892	1892	entry	B1	55882	noun
17	1893	1893	environmental	B1	55896	adj
18	1894	1894	episode	B1	55899	noun
19	1895	1895	equal	B1	55901	adj
20	1896	1896	equally	B1	55915	adv
21	1897	1897	escape	B1	55918	verb
22	1898	1898	essential	B1	55941	adj
23	1899	1899	eventually	B1	55951	adv
24	1900	1900	examine	B1	55954	verb
25	1901	1901	exchange	B1	55959	noun
26	1902	1902	excitement	B1	55976	noun
27	1903	1903	exhibition	B1	55978	noun
28	1904	1904	expand	B1	55985	verb
29	1905	1905	expected	B1	55996	adj
30	1906	1906	expedition	B1	55998	noun
31	1907	1907	experienced	B1	56006	adj
32	1908	1908	explode	B1	56009	verb
33	1909	1909	explore	B1	56023	verb
34	1910	1910	explosion	B1	56032	noun
35	1911	1911	export	B1	56035	adj
36	1912	1912	fairly	B1	56043	adv
37	1913	1913	familiar	B1	56050	adj
38	1914	1914	fancy	B1	56059	noun
39	1915	1915	fascinating	B1	56087	adj
40	1916	1916	fashionable	B1	56089	adj
41	1917	1917	fasten	B1	56093	verb
42	1918	1918	favour	B1	56095	noun
43	1919	1919	fence	B1	56097	noun
44	1920	1920	fighting	B1	56113	adj
45	1921	1921	file	B1	56118	noun
46	1922	1922	financial	B1	56140	adj
47	1923	1923	fitness	B1	56142	noun
48	1924	1924	fixed	B1	56146	verb
49	1925	1925	flag	B1	56159	noun
50	1926	1926	flood	B1	56201	noun
51	1927	1927	flour	B1	56212	noun
52	1928	1928	flow	B1	56219	noun
53	1929	1929	fold	B1	56242	verb
54	1930	1930	folk	B1	56288	noun
55	1931	1931	force	B1	56296	noun
56	1932	1932	forever	B1	56333	adv
57	1933	1933	frame	B1	56339	verb
58	1934	1934	freeze	B1	56383	verb
59	1935	1935	frequently	B1	56402	adv
60	1936	1936	friendship	B1	56404	noun
61	1937	1937	frighten	B1	56407	verb
62	1938	1938	frightened	B1	56409	adj
63	1939	1939	frightening	B1	56411	adj
64	1940	1940	frozen	B1	56414	adj
65	1942	1942	fuel	B1	56441	noun
66	1943	1943	function	B1	56446	noun
67	1944	1944	fur	B1	56459	noun
68	1945	1945	garage	B1	56479	noun
69	1946	1946	gather	B1	56487	verb
70	1947	1947	generally	B1	56506	adv
71	1948	1948	generation	B1	56511	noun
72	1949	1949	generous	B1	56523	adj
73	1950	1950	gentle	B1	56528	adj
74	1951	1951	gentleman	B1	56541	noun
75	1952	1952	ghost	B1	56547	noun
76	1953	1953	giant	B1	56586	noun
77	1954	1954	glad	B1	56598	adj
78	1955	1955	global	B1	56602	adj
79	1956	1956	glove	B1	56611	noun
80	1957	1957	goods	B1	56619	noun
81	1958	1958	grade	B1	56628	noun
82	1959	1959	graduate	B1	56652	noun
83	1960	1960	grain	B1	56669	noun
84	1961	1961	grateful	B1	56709	adj
85	1962	1962	growth	B1	56711	noun
86	1963	1963	guard	B1	56717	noun
87	1964	1964	guilty	B1	56740	adj
88	1965	1965	hang	B1	56820	verb
89	1966	1966	happiness	B1	56795	noun
90	1967	1967	hardly	B1	56782	adv
91	1968	1968	headline	B1	56776	noun
92	1969	1969	heating	B1	56754	noun
93	1970	1970	heavily	B1	56747	adv
94	1971	1971	helicopter	B1	56810	noun
95	1972	1972	highlight	B1	56787	noun
96	1973	1973	highly	B1	56752	adv
97	1975	1975	historic	B1	56758	adj
98	1976	1976	historical	B1	56764	adj
99	1977	1977	honest	B1	56864	adj
100	1978	1978	horrible	B1	56852	noun
101	2082	2082	official	B1	57922	adj
102	2083	2083	old-fashioned	B1	57892	adj
103	2084	2084	operation	B1	57940	noun
104	2085	2085	organized	B1	57933	adj
105	2086	2086	organizer	B1	57950	noun
106	2087	2087	originally	B1	57938	adv
107	2088	2088	ought	B1	57967	verb
108	2089	2089	ours	B1	57958	pron
109	2090	2090	outdoor	B1	57955	adj
110	2091	2091	outdoors	B1	57976	adv
111	2092	2092	package	B1	57985	noun
112	2093	2093	painful	B1	57980	adj
113	2094	2094	pale	B1	58008	adj
